empresa,Nombre,status,partind,naics1,naics2,SectorEconomatica
DBI,Designer Brands Inc,activo,,Comercio al por menor,Tienda de zapatos,Comercio
DBRG,"Digitalbridge Group, Inc",activo,,Servicios financieros y de seguros,Otros servicios relacionados con la intermediación bursátil,Finanzas y Seguros
DBTX_old,"Decibel Therapeutics, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
DBX,"Dropbox, Inc",activo,,Información en medios masivos,Edición de software,Software y Datos
DCI,"Donaldson Company, Inc",activo,,Industrias manufactureras,"Fabricación de equipo de aire acondicionado, calefacción, y de refrigeración industrial y comercial",Maquinaria Indust
DCLK_old,Doubleclick Inc,cancelado,,Información en medios masivos,Edición de software,Software y Datos
DCO,Ducommun Inc,activo,,Industrias manufactureras,Fabricación de equipo aeroespacial,Vehículos y Pieza
DCOM,"Dime Community Bancshares, Inc",activo,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
DCOM_old,Dime Community Bancshares Inc -Old,cancelado,,Servicios financieros y de seguros,Bancos,Finanzas y Seguros
DCPH_old,"Deciphera Pharmaceuticals, Inc",cancelado,,Industrias manufactureras,Fabricación de productos farmacéuticos,Química
